idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,4,0,0,13.09,0,13.09,1,0,20
2,1,0,0,7.56,0,7.56,2,1.0,20
3,4,0,1,19.37,0,19.37,3,1.0,20
4,5,0,0,21.24,0,21.24,4,1.0,20
5,1,0,1,5.98,0,5.98,5,1.0,20
6,3,0,0,10.4,0,10.4,6,1.0,20
7,1,0,2,10.02,0,10.02,7,1.0,20
8,6,0,0,22.18,0,22.18,8,0,20
9,3,0,1,7.08,0,7.08,9,1.0,20
10,4,0,2,21.3,0,21.3,10,1.0,20
11,2,0,0,6.71,0,6.71,11,1.0,20
12,1,0,3,16.32,0,16.32,12,1.0,20
13,2,0,1,7.96,0,7.96,13,1.0,20
14,2,0,2,9.15,0,9.15,14,1.0,20
15,4,0,3,20.77,0,20.77,15,1.0,20
16,3,0,2,18.99,0,18.99,16,1.0,20
17,5,0,1,18.69,0,18.69,17,1.0,20
18,1,0,4,16.82,0,16.82,18,1.0,20
19,3,0,3,18.27,0,18.27,19,1.0,20
20,2,0,3,9.06,0,9.06,20,1.0,20
