idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,2,0,0,5.83,0,5.83,1,1.0,20
2,1,0,0,5.49,0,5.49,2,1.0,20
3,3,0,0,21.99,0,21.99,3,1.0,20
4,3,0,1,9.44,0,9.44,4,1.0,20
5,3,0,2,23.41,0,23.41,5,1.0,20
6,2,0,1,9.19,0,9.19,6,1.0,20
7,4,0,0,22.25,0,22.25,7,1.0,20
8,3,0,3,19.32,0,19.32,8,1.0,20
9,1,0,1,5.64,0,5.64,9,1.0,20
10,3,0,4,22.93,0,22.93,10,1.0,20
11,1,0,2,10.67,0,10.67,11,1.0,20
12,1,0,3,16.96,0,16.96,12,1.0,20
13,2,0,2,10.79,0,10.79,13,1.0,20
14,4,0,1,21.66,0,21.66,14,1.0,20
15,2,0,3,11.22,0,11.22,15,1.0,20
16,4,0,2,22.38,0,22.38,16,1.0,20
17,6,0,0,23.58,0,23.58,17,1.0,20
18,2,0,4,8.86,0,8.86,18,1.0,20
19,5,0,0,13.99,0,13.99,19,0,20
20,1,0,4,16.39,0,16.39,20,1.0,20
