idx,loc_x,loc_y,loc_z,weight,group,score,seq,emerg,reloc,size(ft)
1,5,0,0,15.42,0,15.42,1,0,0,20
2,4,0,0,15.09,0,15.09,2,0,0,20
3,3,0,0,6.27,0,6.27,3,0,0,20
4,5,0,1,21.43,0,21.43,4,0,0,20
5,2,0,0,6.13,0,6.13,5,0,0,20
6,5,0,2,22.51,0,22.51,6,0,0,20
7,5,0,3,23.69,0,23.69,7,0,0,20
8,4,0,1,17.95,0,17.95,8,0,0,20
9,2,0,1,11.96,0,11.96,9,0,0,20
10,3,0,1,7.63,0,7.63,10,0,0,20
11,1,0,0,12.84,0,12.84,11,0,0,20
12,2,0,2,17.61,0,17.61,12,0,1.0,20
13,3,0,2,8.55,0,8.55,13,0,0,20
14,4,0,2,18.77,0,18.77,14,0,0,20
15,4,0,3,19.06,0,19.06,15,0,0,20
16,2,0,3,16.92,0,16.92,16,0,1.0,20
17,3,0,3,9.78,0,9.78,17,0,0,20
18,6,0,0,5.29,0,5.29,18,0,0,20
19,1,0,1,16.47,0,16.47,19,0,0,20
20,1,0,2,20.69,0,20.69,20,0,0,20
21,4,0,4,21.64,0,21.64,21,0,0,20
22,3,0,4,14.77,0,14.77,22,0,0,20
23,6,0,1,12.45,0,12.45,23,0,0,20
24,6,0,2,20.82,0,20.82,24,0,0,20
25,6,0,3,22.38,0,22.38,25,0,0,20
