idx,loc_x,loc_y,loc_z,weight,group,score,seq,emerg,reloc,size(ft)
1,4,0,0,10.8,0,10.8,1,0,0,20
2,2,0,0,10.54,0,10.54,2,0,0,20
3,3,0,0,22.89,0,22.89,3,0,1.0,20
4,2,0,1,21.76,0,21.76,4,0,2.503567584355437e-07,20
5,4,0,1,13.42,0,13.42,5,0,0,20
6,1,0,0,7.58,0,7.58,6,0,0,20
7,2,0,2,22.54,0,22.54,7,0,0,20
8,5,0,0,10.67,0,10.67,8,0,0,20
9,4,0,2,16.85,0,16.85,9,0,0,20
10,4,0,3,18.54,0,18.54,10,0,0,20
11,5,0,1,14.13,0,14.13,11,0,-2.2204460492503126e-16,20
12,6,0,0,6.37,0,6.37,12,0,0,20
13,2,0,3,22.63,0,22.63,13,0,0,20
14,3,0,1,9.33,0,9.33,14,0,1.0,20
15,5,0,2,14.27,0,14.27,15,0,0,20
16,1,0,1,7.91,0,7.91,16,0,0,20
17,1,0,2,9.81,0,9.81,17,0,0,20
18,5,0,3,14.26,0,14.26,18,0,0,20
19,1,0,3,14.0,0,14.0,19,0,0,20
20,6,0,1,7.42,0,7.42,20,0,0,20
21,2,0,4,23.11,0,23.11,21,0,0,20
22,3,0,2,6.18,0,6.18,22,0,1.0,20
23,1,0,4,20.03,0,20.03,23,0,0,20
24,3,0,3,12.72,0,12.72,24,0,1.0000000000000002,20
25,6,0,2,9.47,0,9.47,25,0,0,20
