idx,loc_x,loc_y,loc_z,weight,group,score,seq,emerg,reloc,size(ft)
1,1,0,0,11.41,0,11.41,1,0,0,20
2,4,0,0,8.3,0,8.3,2,0,0,20
3,4,0,1,12.46,0,12.46,3,0,0,20
4,1,0,1,17.43,0,17.43,4,0,0,20
5,3,0,0,23.02,0,23.02,5,0,1.0,20
6,1,0,2,21.41,0,21.41,6,0,0,20
7,6,0,0,17.08,0,17.08,7,0,0,20
8,4,0,2,15.7,0,15.7,8,0,0,20
9,2,0,0,8.62,0,8.62,9,0,0,20
10,5,0,0,6.18,0,6.18,10,0,0,20
11,4,0,3,17.02,0,17.02,11,0,0,20
12,2,0,1,13.0,0,13.0,12,0,0,20
13,5,0,1,12.3,0,12.3,13,0,0,20
14,4,0,4,19.05,0,19.05,14,0,0,20
15,6,0,1,19.07,0,19.07,15,0,0,20
16,6,0,2,19.51,0,19.51,16,0,0,20
17,3,0,1,7.31,0,7.31,17,0,1.0,20
18,1,0,3,21.75,0,21.75,18,0,0,20
19,6,0,3,19.84,0,19.84,19,0,0,20
20,5,0,2,12.99,0,12.99,20,0,0,20
21,2,0,2,13.08,0,13.08,21,0,0,20
22,3,0,2,5.02,0,5.02,22,0,1.0,20
23,2,0,3,18.72,0,18.72,23,0,0,20
24,5,0,3,16.35,0,16.35,24,0,0,20
25,6,0,4,21.54,0,21.54,25,0,0,20
