idx,loc_x,loc_y,loc_z,weight,group,score,seq,emerg,reloc,size(ft)
1,6,0,0,18.8,0,18.8,1,0,0,20
2,6,0,1,21.71,0,21.71,2,0,0,20
3,3,0,0,11.29,0,11.29,3,0,0,20
4,6,0,2,22.81,0,22.81,4,0,0,20
5,2,0,0,7.21,0,7.21,5,0,0,20
6,4,0,0,19.64,0,19.64,6,0,1.0,20
7,5,0,0,5.42,0,5.42,7,0,0,20
8,1,0,0,8.08,0,8.08,8,0,0,20
9,1,0,1,13.04,0,13.04,9,0,0,20
10,3,0,1,19.39,0,19.39,10,0,0,20
11,1,0,2,17.85,0,17.85,11,0,0,20
12,3,0,2,22.26,0,22.26,12,0,0,20
13,1,0,3,18.97,0,18.97,13,0,0,20
14,5,0,1,5.54,0,5.54,14,0,0,20
15,2,0,1,11.12,0,11.12,15,0,0,20
16,4,0,1,8.83,0,8.83,16,0,1.0,20
17,4,0,2,7.12,0,7.12,17,0,1.0,20
18,5,0,2,6.74,0,6.74,18,0,0,20
19,2,0,2,15.06,0,15.06,19,0,0,20
20,5,0,3,14.72,0,14.72,20,0,0,20
21,1,0,4,21.83,0,21.83,21,0,0,20
22,6,0,3,23.62,0,23.62,22,0,0,20
23,5,0,4,18.56,0,18.56,23,0,0,20
24,4,0,3,11.73,0,11.73,24,0,1.0,20
25,2,0,3,16.9,0,16.9,25,0,0,20
