idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,4,0,0,6.76,1,106.76,0,0,20
2,6,0,0,16.92,2,216.92000000000002,0,1.0,20
3,1,0,0,23.77,1,123.77,0,1.0,20
4,5,0,0,12.17,3,312.17,0,1.0,20
5,2,0,0,21.63,3,321.63,0,1.0,20
6,2,0,1,15.28,3,315.28,1,1.0,20
7,2,0,2,19.26,3,319.26,2,1.0,20
8,2,0,3,8.73,3,308.73,3,1.0,20
9,1,0,1,13.04,1,113.03999999999999,4,1.0,20
10,1,0,2,15.17,2,215.17,5,1.0,20
11,1,0,3,16.56,1,116.56,6,1.0,20
12,6,0,1,8.93,2,208.93,7,1.0,20
13,4,0,1,11.58,2,211.58,8,1.0,20
14,3,0,0,9.91,1,109.91,9,1.0,20
15,3,0,1,7.11,1,107.11,10,1.0,20
16,5,0,1,12.72,2,212.72,11,1.0,20
17,4,0,2,12.35,3,312.35,12,1.0,20
18,5,0,2,10.56,3,310.56,13,1.0,20
19,3,0,2,8.46,1,108.46000000000001,14,1.0,20
20,4,0,3,20.68,3,320.68,15,1.0,20
