idx,loc_x,loc_y,loc_z,weight,group,score,seq,emerg,reloc,size(ft)
1,3,0,0,10.59,0,10.59,1,0,1.0,20
2,3,0,1,9.76,0,9.76,2,0,1.0,20
3,3,0,2,10.17,0,10.17,3,0,0.9999999848419382,20
4,5,0,0,15.78,0,15.78,4,0,0.9999999651629193,20
5,3,0,3,7.75,0,7.75,5,0,1.000000015158062,20
6,3,0,4,13.56,0,13.56,6,0,1.0,20
7,8,0,0,20.08,0,20.08,7,0,1.0,20
8,6,0,0,18.33,0,18.33,8,0,1.0,20
9,3,0,5,14.06,0,14.06,9,0,0.9999999848419382,20
10,7,0,0,19.27,0,19.27,10,0,0.9999999937654813,20
11,4,0,0,8.88,0,8.88,11,0,0,20
12,6,0,1,17.91,0,17.91,12,0,1.0,20
13,6,0,2,17.09,0,17.09,13,0,1.0,20
14,5,0,1,15.38,0,15.38,14,0,1.0,20
15,10,0,0,23.32,0,23.32,15,0,3.3733400967276624e-06,20
16,2,0,0,6.71,0,6.71,16,0,1.0,20
17,9,0,0,23.23,0,23.23,17,0,0.9999971075873189,20
18,2,0,1,8.1,0,8.1,18,0,1.0,20
19,5,0,2,16.43,0,16.43,19,0,1.0,20
20,6,0,3,16.79,0,16.79,20,0,1.0,20
21,2,0,2,9.62,0,9.62,21,0,1.0,20
22,8,0,1,21.19,0,21.19,22,0,1.0,20
23,2,0,3,8.81,0,8.81,23,0,1.0,20
24,5,0,3,16.07,0,16.07,24,0,0.9999999999999999,20
25,2,0,4,8.27,0,8.27,25,0,1.0,20
26,4,0,1,10.42,0,10.42,26,0,0.9999999928600565,20
27,1,0,0,6.05,0,6.05,27,0,0.9999974919801068,20
28,4,0,2,10.21,0,10.21,28,0,0.9999999928600565,20
29,9,0,1,22.62,0,22.62,29,0,0.9999985880518981,20
30,8,0,2,18.04,0,18.04,30,0,1.0,20
31,1,0,1,5.6,0,5.6,31,0,1.0,20
32,7,0,1,17.38,0,17.38,32,0,1.000000036500126,20
33,9,0,2,21.8,0,21.8,33,0,0.9999985880518981,20
34,2,0,5,12.8,0,12.8,34,0,1.0,20
35,1,0,2,8.34,0,8.34,35,0,1.0,20
36,1,0,3,7.51,0,7.51,36,0,0.9999999999999991,20
37,8,0,3,21.16,0,21.16,37,0,1.0,20
38,7,0,2,17.8,0,17.8,38,0,1.0,20
39,1,0,4,5.33,0,5.33,39,0,1.000000038631139,20
40,8,0,4,22.57,0,22.57,40,0,0.999998618317505,20
41,5,0,4,14.67,0,14.67,41,0,1.0,20
42,4,0,3,10.04,0,10.04,42,0,1.0,20
43,4,0,4,11.74,0,11.74,43,0,0.9999993831767486,20
44,6,0,4,18.66,0,18.66,44,0,1.0,20
45,6,0,5,18.77,0,18.77,45,0,1.000000017530193,20
46,1,0,5,7.18,0,7.18,46,0,0.9999912697941524,20
47,5,0,5,14.35,0,14.35,47,0,1.0,20
48,7,0,3,16.94,0,16.94,48,0,1.0,20
49,4,0,5,11.97,0,11.97,49,0,1.0,20
50,7,0,4,19.31,0,19.31,50,0,1.0,20
