idx,loc_x,loc_y,loc_z,weight,group,score,seq,emerg,reloc,size(ft)
1,9,0,0,22.85,0,22.85,1,0,1.0,20
2,6,0,0,15.68,0,15.68,2,0,1.0,20
3,7,0,0,21.1,0,21.1,3,0,1.0,20
4,4,0,0,7.47,0,7.47,4,0,0,20
5,7,0,1,17.19,0,17.19,5,0,1.0,20
6,4,0,1,14.22,0,14.22,6,0,1.0,20
7,7,0,2,20.41,0,20.41,7,0,1.0,20
8,2,0,0,6.68,0,6.68,8,0,1.0,20
9,1,0,0,5.45,0,5.45,9,0,1.0,20
10,7,0,3,16.54,0,16.54,10,0,1.0,20
11,10,0,0,23.7,0,23.7,11,0,1.0,20
12,4,0,2,10.69,0,10.69,12,0,1.0,20
13,1,0,1,5.55,0,5.55,13,0,1.0,20
14,8,0,0,23.21,0,23.21,14,0,1.0,20
15,8,0,1,18.4,0,18.4,15,0,1.0,20
16,7,0,4,20.94,0,20.94,16,0,1.0,20
17,6,0,1,16.7,0,16.7,17,0,1.0,20
18,5,0,0,9.03,0,9.03,18,0,1.0,20
19,4,0,3,13.32,0,13.32,19,0,1.0,20
20,3,0,0,7.51,0,7.51,20,0,1.0,20
21,3,0,1,7.66,0,7.66,21,0,1.0,20
22,5,0,1,9.32,0,9.32,22,0,1.0,20
23,6,0,2,14.72,0,14.72,23,0,1.0,20
24,6,0,3,15.58,0,15.58,24,0,1.0,20
25,3,0,2,9.73,0,9.73,25,0,1.0,20
26,8,0,2,23.53,0,23.53,26,0,1.0,20
27,4,0,4,12.8,0,12.8,27,0,1.0,20
28,1,0,2,6.31,0,6.31,28,0,1.0,20
29,4,0,5,13.45,0,13.45,29,0,1.0,20
30,6,0,4,16.07,0,16.07,30,0,1.0,20
31,8,0,3,22.32,0,22.32,31,0,1.0,20
32,8,0,4,21.67,0,21.67,32,0,1.0,20
33,1,0,3,5.08,0,5.08,33,0,1.0,20
34,6,0,5,15.26,0,15.26,34,0,1.0,20
35,2,0,1,7.18,0,7.18,35,0,1.0,20
36,2,0,2,7.93,0,7.93,36,0,1.0,20
37,1,0,4,6.27,0,6.27,37,0,1.0,20
38,2,0,3,10.17,0,10.17,38,0,1.0,20
39,5,0,2,10.5,0,10.5,39,0,1.0,20
40,3,0,3,11.07,0,11.07,40,0,1.0,20
41,5,0,3,16.58,0,16.58,41,0,1.0,20
42,9,0,1,17.74,0,17.74,42,0,1.0,20
43,2,0,4,11.05,0,11.05,43,0,1.0,20
44,5,0,4,14.82,0,14.82,44,0,1.0,20
45,3,0,4,8.7,0,8.7,45,0,1.0,20
46,9,0,2,22.57,0,22.57,46,0,1.0,20
47,3,0,5,10.31,0,10.31,47,0,1.0,20
48,10,0,1,18.47,0,18.47,48,0,1.0,20
49,5,0,5,12.76,0,12.76,49,0,1.0,20
50,7,0,5,20.96,0,20.96,50,0,1.0,20
