idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,1,0,0,11.49,0,0,1.0,20
2,6,0,0,18.82,0,0,0,20
3,3,0,0,12.33,0,0,0,20
4,4,0,0,18.43,0,0,0,20
5,5,0,0,5.66,0,0,0,20
6,2,0,0,10.86,0,0,0,20
7,6,0,1,19.0,0,0,0,20
8,3,0,1,13.19,1,0,0,20
9,6,0,2,22.91,2,0,0,20
10,5,0,1,8.96,3,0,0,20
11,4,0,1,22.12,4,0,0,20
12,2,0,1,11.8,5,0,0,20
13,6,0,3,23.82,6,0,0,20
14,3,0,2,18.46,7,0,0,20
15,4,0,2,22.16,8,0,0,20
16,5,0,2,9.11,9,0,0,20
17,1,0,1,7.3,10,0,1.0,20
18,2,0,2,12.52,11,0,0,20
19,1,0,2,6.03,12,0,1.0,20
20,2,0,3,15.48,13,0,0,20
