idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,2,0,0,8.63,1,0,0,20
2,4,0,0,17.67,2,0,0,20
3,3,0,0,13.4,3,0,1.0,20
4,4,0,1,22.38,4,0,1.0,20
5,3,0,1,12.45,5,0,1.0,20
6,3,0,2,15.85,6,0,1.0,20
7,5,0,0,19.86,7,0,1.0000000000000728,20
8,3,0,3,23.02,8,0,1.0,20
9,2,0,1,10.25,9,0,0,20
10,2,0,2,11.85,10,0,0,20
11,4,0,2,21.8,11,0,1.0,20
12,5,0,1,18.49,12,0,1.0,20
13,1,0,0,6.8,13,0,1.0,20
14,1,0,1,6.16,14,0,1.0,20
15,6,0,0,23.17,15,0,0,20
16,2,0,3,16.31,16,0,1.0,20
17,4,0,3,21.43,17,0,1.0,20
18,1,0,2,5.56,18,0,1.0,20
19,1,0,3,7.87,19,0,1.0,20
20,2,0,4,14.81,20,0,1.0,20
