idx,loc_x,loc_y,loc_z,weight,group,score,seq,emerg,reloc,size(ft)
1,3,0,0,8.36,0,8.36,1,0,0,20
2,3,0,1,11.13,0,11.13,2,0,0,20
3,6,0,0,21.95,0,21.95,3,0,0,20
4,2,0,0,5.76,0,5.76,4,0,0,20
5,6,0,1,22.31,0,22.31,5,0,0,20
6,5,0,0,19.09,0,19.09,6,0,0,20
7,3,0,2,20.55,0,20.55,7,0,1.0,20
8,3,0,3,18.15,0,18.15,8,0,1.0,20
9,5,0,1,20.46,0,20.46,9,0,0,20
10,4,0,0,9.86,0,9.86,10,0,0,20
11,4,0,1,12.57,0,12.57,11,0,0,20
12,3,0,4,17.27,0,17.27,12,0,1.0,20
13,2,0,1,7.04,0,7.04,13,0,0,20
14,2,0,2,8.28,0,8.28,14,0,0,20
15,1,0,0,5.64,0,5.64,15,0,0,20
16,6,0,2,22.55,0,22.55,16,0,0,20
17,1,0,1,6.19,0,6.19,17,0,0,20
18,4,0,2,13.33,0,13.33,18,0,0,20
19,1,0,2,7.66,0,7.66,19,0,0,20
20,1,0,3,15.35,0,15.35,20,0,0,20
21,2,0,3,10.9,0,10.9,21,0,0,20
22,5,0,2,22.41,0,22.41,22,0,0,20
23,6,0,3,22.6,0,22.6,23,0,0,20
24,7,0,0,6.95,0,6.95,24,0,0,20
25,4,0,3,14.25,0,14.25,25,0,0,20
26,5,0,3,22.51,0,22.51,26,0,0,20
27,4,0,4,21.7,0,21.7,27,0,0,20
28,7,0,1,20.94,0,20.94,28,0,0,20
29,5,0,4,23.44,0,23.44,29,0,0,20
30,2,0,4,14.2,0,14.2,30,0,0,20
