idx,loc_x,loc_y,loc_z,weight,group,score,seq,emerg,reloc,size(ft)
1,4,0,0,10.86,0,10.86,1,0,0,20
2,5,0,0,18.74,0,18.74,2,0,0,20
3,4,0,1,11.08,0,11.08,3,0,0,20
4,6,0,0,11.81,0,11.81,4,0,0,20
5,3,0,0,9.31,0,9.31,5,0,0,20
6,2,0,0,5.85,0,5.85,6,0,0,20
7,5,0,1,18.86,0,18.86,7,0,0,20
8,1,0,0,7.23,0,7.23,8,0,1.0,20
9,1,0,1,7.12,0,7.12,9,0,1.0,20
10,6,0,1,15.62,0,15.62,10,0,0,20
11,2,0,1,6.54,0,6.54,11,0,0,20
12,2,0,2,8.18,0,8.18,12,0,0,20
13,2,0,3,13.66,0,13.66,13,0,0,20
14,4,0,2,11.74,0,11.74,14,0,0,20
15,5,0,2,19.91,0,19.91,15,0,0,20
16,5,0,3,22.51,0,22.51,16,0,0,20
17,7,0,0,10.28,0,10.28,17,0,0,20
18,3,0,1,9.85,0,9.85,18,0,0,20
19,3,0,2,10.08,0,10.08,19,0,0,20
20,3,0,3,13.1,0,13.1,20,0,0,20
21,1,0,2,7.83,0,7.83,21,0,1.0,20
22,2,0,4,13.86,0,13.86,22,0,0,20
23,3,0,4,22.41,0,22.41,23,0,0,20
24,6,0,2,17.55,0,17.55,24,0,0,20
25,1,0,3,5.25,0,5.25,25,0,1.0,20
26,6,0,3,21.68,0,21.68,26,0,0,20
27,7,0,1,14.47,0,14.47,27,0,0,20
28,5,0,4,22.97,0,22.97,28,0,0,20
29,4,0,3,16.89,0,16.89,29,0,0,20
30,4,0,4,19.87,0,19.87,30,0,0,20
