idx,seq,priority,emerg,weight,size(ft)
16,1,0,0,22.27,20
17,2,0,0,8.2,20
18,3,0,0,6.96,20
19,4,0,0,13.92,20
20,5,0,0,21.43,20
21,6,0,0,23.07,20
22,7,0,0,20.02,20
23,8,0,0,22.03,20
24,9,0,0,15.55,20
25,10,0,0,14.42,20
26,11,0,0,8.92,20
27,12,0,0,23.06,20
28,13,0,0,6.22,20
29,14,0,0,10.5,20
30,15,0,0,11.48,20
31,16,0,0,22.95,20
32,17,0,0,22.77,20
33,18,0,0,18.64,20
34,19,0,0,5.03,20
35,20,0,0,14.45,20
36,21,0,0,10.56,20
37,22,0,0,8.99,20
38,23,0,0,16.68,20
39,24,0,0,20.81,20
40,25,0,0,14.81,20
41,26,0,0,15.76,20
42,27,0,0,16.38,20
43,28,0,0,19.7,20
44,29,0,0,18.87,20
45,30,0,0,19.13,20
46,31,0,0,5.08,20
47,32,0,0,5.43,20
48,33,0,0,22.81,20
49,34,0,0,6.26,20
50,35,0,0,11.0,20
