idx,seq,priority,emerg,weight,size(ft)
16,1,0,0,22.66,20
17,2,0,0,17.67,20
18,3,0,0,11.8,20
19,4,0,0,20.84,20
20,5,0,0,5.74,20
21,6,0,0,23.32,20
22,7,0,0,9.93,20
23,8,0,0,20.34,20
24,9,0,0,12.04,20
25,10,0,0,11.95,20
26,11,0,0,15.82,20
27,12,0,0,22.86,20
28,13,0,0,12.1,20
29,14,0,0,11.74,20
30,15,0,0,11.87,20
31,16,0,0,6.89,20
32,17,0,0,14.06,20
33,18,0,0,9.38,20
34,19,0,0,17.57,20
35,20,0,0,11.34,20
36,21,0,0,18.2,20
37,22,0,0,10.44,20
38,23,0,0,10.85,20
39,24,0,0,13.51,20
40,25,0,0,21.19,20
41,26,0,0,21.75,20
42,27,0,0,20.24,20
43,28,0,0,15.16,20
44,29,0,0,18.4,20
45,30,0,0,15.83,20
46,31,0,0,8.21,20
47,32,0,0,20.89,20
48,33,0,0,10.85,20
49,34,0,0,6.14,20
50,35,0,0,7.93,20
