idx,seq,priority,emerg,weight,size(ft)
16,1,0,0,17.5,20
17,2,0,0,23.03,20
18,3,0,0,6.29,20
19,4,0,0,13.04,20
20,5,0,0,16.8,20
21,6,0,0,20.63,20
22,7,0,0,5.11,20
23,8,0,0,16.38,20
24,9,0,0,14.53,20
25,10,0,0,7.48,20
26,11,0,0,6.63,20
27,12,0,0,14.78,20
28,13,0,0,12.4,20
29,14,0,0,18.51,20
30,15,0,0,12.8,20
31,16,0,0,10.2,20
32,17,0,0,23.64,20
33,18,0,0,12.33,20
34,19,0,0,12.03,20
35,20,0,0,16.7,20
36,21,0,0,14.03,20
37,22,0,0,18.67,20
38,23,0,0,10.96,20
39,24,0,0,18.82,20
40,25,0,0,17.18,20
41,26,0,0,17.3,20
42,27,0,0,14.56,20
43,28,0,0,13.55,20
44,29,0,0,8.37,20
45,30,0,0,9.75,20
46,31,0,0,23.49,20
47,32,0,0,11.34,20
48,33,0,0,7.21,20
49,34,0,0,17.77,20
50,35,0,0,17.45,20
