idx,seq,priority,emerg,weight,size(ft)
16,1,0,0,5.18,20
17,2,0,0,14.54,20
18,3,0,0,21.01,20
19,4,0,0,7.95,20
20,5,0,0,21.23,20
21,6,0,0,9.83,20
22,7,0,0,22.57,20
23,8,0,0,5.54,20
24,9,0,0,7.29,20
25,10,0,0,12.63,20
26,11,0,0,6.46,20
27,12,0,0,18.34,20
28,13,0,0,12.15,20
29,14,0,0,11.51,20
30,15,0,0,23.01,20
31,16,0,0,20.61,20
32,17,0,0,23.78,20
33,18,0,0,18.16,20
34,19,0,0,18.77,20
35,20,0,0,11.14,20
36,21,0,0,11.92,20
37,22,0,0,7.74,20
38,23,0,0,5.36,20
39,24,0,0,13.03,20
40,25,0,0,14.66,20
41,26,0,0,5.16,20
42,27,0,0,14.7,20
43,28,0,0,16.44,20
44,29,0,0,7.88,20
45,30,0,0,22.36,20
46,31,0,0,16.98,20
47,32,0,0,19.39,20
48,33,0,0,11.35,20
49,34,0,0,22.96,20
50,35,0,0,5.99,20
