idx,seq,group,emerg,weight,size(ft)
16,1,0,0,11.2,20
17,2,0,0,21.37,20
18,3,0,0,16.7,20
19,4,0,0,22.83,20
20,5,0,0,23.45,20
21,6,0,0,7.08,20
22,7,0,0,18.35,20
23,8,0,0,14.01,20
24,9,0,0,17.69,20
25,10,0,0,11.44,20
26,11,0,0,13.94,20
27,12,0,0,8.37,20
28,13,0,0,12.75,20
29,14,0,0,11.32,20
30,15,0,0,21.85,20
31,16,0,0,18.88,20
32,17,0,0,5.05,20
33,18,0,0,11.91,20
34,19,0,0,9.75,20
35,20,0,0,21.04,20
36,21,0,0,15.82,20
37,22,0,0,14.41,20
38,23,0,0,8.25,20
39,24,0,0,13.29,20
40,25,0,0,11.26,20
41,26,0,0,11.88,20
42,27,0,0,17.98,20
43,28,0,0,16.29,20
44,29,0,0,10.27,20
45,30,0,0,8.84,20
46,31,0,0,22.48,20
47,32,0,0,11.0,20
48,33,0,0,15.33,20
49,34,0,0,11.72,20
50,35,0,0,13.6,20
