idx,seq,priority,emerg,weight,size(ft)
16,1,0,0,23.01,20
17,2,0,0,22.66,20
18,3,0,0,15.61,20
19,4,0,0,15.61,20
20,5,0,0,17.78,20
21,6,0,0,23.46,20
22,7,0,0,18.84,20
23,8,0,0,21.63,20
24,9,0,0,5.95,20
25,10,0,0,21.96,20
26,11,0,0,15.28,20
27,12,0,0,7.87,20
28,13,0,0,6.17,20
29,14,0,0,17.27,20
30,15,0,0,18.76,20
31,16,0,0,19.5,20
32,17,0,0,16.15,20
33,18,0,0,23.93,20
34,19,0,0,18.18,20
35,20,0,0,5.5,20
36,21,0,0,18.96,20
37,22,0,0,19.62,20
38,23,0,0,14.81,20
39,24,0,0,21.96,20
40,25,0,0,10.63,20
41,26,0,0,7.35,20
42,27,0,0,7.09,20
43,28,0,0,8.38,20
44,29,0,0,11.43,20
45,30,0,0,16.08,20
46,31,0,0,5.35,20
47,32,0,0,17.41,20
48,33,0,0,8.0,20
49,34,0,0,11.85,20
50,35,0,0,7.5,20
