idx,seq,priority,emerg,weight,size(ft)
16,1,0,0,6.28,20
17,2,0,0,15.41,20
18,3,0,0,21.45,20
19,4,0,0,7.94,20
20,5,0,0,15.13,20
21,6,0,0,10.79,20
22,7,0,0,20.22,20
23,8,0,0,9.55,20
24,9,0,0,18.86,20
25,10,0,0,23.0,20
26,11,0,0,21.91,20
27,12,0,0,16.13,20
28,13,0,0,6.84,20
29,14,0,0,7.62,20
30,15,0,0,22.06,20
31,16,0,0,7.46,20
32,17,0,0,18.06,20
33,18,0,0,6.62,20
34,19,0,0,17.14,20
35,20,0,0,11.95,20
36,21,0,0,9.26,20
37,22,0,0,13.65,20
38,23,0,0,20.48,20
39,24,0,0,12.16,20
40,25,0,0,7.36,20
41,26,0,0,19.45,20
42,27,0,0,17.19,20
43,28,0,0,20.47,20
44,29,0,0,14.27,20
45,30,0,0,8.94,20
46,31,0,0,14.92,20
47,32,0,0,6.04,20
48,33,0,0,23.26,20
49,34,0,0,9.86,20
50,35,0,0,12.5,20
