idx,seq,priority,emerg,weight,size(ft)
16,1,0,0,11.5,20
17,2,0,0,8.77,20
18,3,0,0,8.35,20
19,4,0,0,12.35,20
20,5,0,0,19.97,20
21,6,0,0,11.65,20
22,7,0,0,15.63,20
23,8,0,0,10.42,20
24,9,0,0,5.4,20
25,10,0,0,21.02,20
26,11,0,0,12.65,20
27,12,0,0,22.64,20
28,13,0,0,20.04,20
29,14,0,0,12.47,20
30,15,0,0,8.92,20
31,16,0,0,17.52,20
32,17,0,0,16.6,20
33,18,0,0,10.67,20
34,19,0,0,12.98,20
35,20,0,0,14.76,20
36,21,0,0,16.2,20
37,22,0,0,17.63,20
38,23,0,0,15.34,20
39,24,0,0,22.44,20
40,25,0,0,12.25,20
41,26,0,0,12.63,20
42,27,0,0,15.33,20
43,28,0,0,9.85,20
44,29,0,0,11.73,20
45,30,0,0,7.64,20
46,31,0,0,10.85,20
47,32,0,0,6.04,20
48,33,0,0,7.93,20
49,34,0,0,11.28,20
50,35,0,0,8.86,20
