idx,seq,priority,emerg,weight,size(ft)
16,1,0,0,14.11,20
17,2,0,0,6.56,20
18,3,0,0,18.98,20
19,4,0,0,11.59,20
20,5,0,0,15.6,20
21,6,0,0,6.71,20
22,7,0,0,6.53,20
23,8,0,0,13.22,20
24,9,0,0,7.32,20
25,10,0,0,18.29,20
26,11,0,0,6.29,20
27,12,0,0,11.12,20
28,13,0,0,6.32,20
29,14,0,0,5.94,20
30,15,0,0,19.8,20
31,16,0,0,15.85,20
32,17,0,0,15.72,20
33,18,0,0,21.06,20
34,19,0,0,9.2,20
35,20,0,0,11.96,20
36,21,0,0,19.98,20
37,22,0,0,17.71,20
38,23,0,0,19.44,20
39,24,0,0,22.84,20
40,25,0,0,15.96,20
41,26,0,0,10.25,20
42,27,0,0,10.69,20
43,28,0,0,13.45,20
44,29,0,0,18.39,20
45,30,0,0,15.78,20
46,31,0,0,15.61,20
47,32,0,0,5.37,20
48,33,0,0,23.58,20
49,34,0,0,15.21,20
50,35,0,0,20.69,20
