idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,2,0,0,5.83,1,0,0,20
2,1,0,0,5.49,2,0,0,20
3,4,0,0,21.99,3,0,0,20
4,2,0,1,9.44,4,0,0,20
5,6,0,0,23.41,5,0,0,20
6,3,0,0,9.19,6,0,0,20
7,4,0,1,22.25,7,0,0,20
8,3,0,1,19.32,8,0,0,20
9,1,0,1,5.64,9,0,0,20
10,4,0,2,22.93,10,0,0,20
11,2,0,2,10.67,11,0,0,20
12,2,0,3,16.96,12,0,0,20
13,1,0,2,10.79,13,0,0,20
14,3,0,2,21.66,14,0,0,20
15,1,0,3,11.22,15,0,0,20
16,3,0,3,22.38,16,0,0,20
17,6,0,1,23.58,17,0,0,20
18,5,0,0,8.86,18,0,0,20
19,5,0,1,13.99,19,0,0,20
20,1,0,4,16.39,20,0,0,20
