idx,seq,group,emerg,weight,size(ft)
16,1,0,0,14.32,20
17,2,0,0,5.64,20
18,3,0,0,8.91,20
19,4,0,0,19.41,20
20,5,0,0,5.39,20
21,6,0,0,14.73,20
22,7,0,0,21.96,20
23,8,0,0,18.79,20
24,9,0,0,21.85,20
25,10,0,0,9.26,20
26,11,0,0,9.0,20
27,12,0,0,15.19,20
28,13,0,0,10.57,20
29,14,0,0,21.07,20
30,15,0,0,6.07,20
31,16,0,0,10.71,20
32,17,0,0,22.62,20
33,18,0,0,14.06,20
34,19,0,0,23.94,20
35,20,0,0,5.5,20
36,21,0,0,8.59,20
37,22,0,0,12.32,20
38,23,0,0,9.8,20
39,24,0,0,22.7,20
40,25,0,0,18.33,20
41,26,0,0,7.87,20
42,27,0,0,19.77,20
43,28,0,0,16.58,20
44,29,0,0,6.94,20
45,30,0,0,18.04,20
46,31,0,0,11.01,20
47,32,0,0,8.8,20
48,33,0,0,8.42,20
49,34,0,0,23.96,20
50,35,0,0,23.69,20
