idx,seq,group,emerg,weight,size(ft)
16,1,0,0,11.55,20
17,2,0,0,9.28,20
18,3,0,0,22.08,20
19,4,0,0,9.93,20
20,5,0,0,6.9,20
21,6,0,0,19.58,20
22,7,0,0,21.46,20
23,8,0,0,20.74,20
24,9,0,0,5.03,20
25,10,0,0,20.67,20
26,11,0,0,23.14,20
27,12,0,0,16.53,20
28,13,0,0,16.3,20
29,14,0,0,11.85,20
30,15,0,0,11.83,20
31,16,0,0,16.72,20
32,17,0,0,10.96,20
33,18,0,0,9.84,20
34,19,0,0,5.19,20
35,20,0,0,8.98,20
36,21,0,0,9.08,20
37,22,0,0,13.41,20
38,23,0,0,7.5,20
39,24,0,0,17.32,20
40,25,0,0,16.03,20
41,26,0,0,21.22,20
42,27,0,0,11.65,20
43,28,0,0,19.86,20
44,29,0,0,21.75,20
45,30,0,0,10.55,20
46,31,0,0,19.79,20
47,32,0,0,17.06,20
48,33,0,0,11.95,20
49,34,0,0,17.74,20
50,35,0,0,17.74,20
