idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,1,0,0,8.75,0,8.75,0,0,20
2,3,0,0,12.72,0,12.72,0,0,20
3,2,0,0,12.37,0,12.37,0,1.0,20
4,5,0,0,12.52,0,12.52,0,0,20
5,4,0,0,5.93,0,5.93,0,0,20
6,4,0,1,7.77,0,7.77,0,0,20
7,6,0,0,15.8,0,15.8,0,0,20
8,1,0,1,9.23,0,9.23,1,0,20
9,4,0,2,11.03,0,11.03,2,0,20
10,6,0,1,22.42,0,22.42,3,0,20
11,3,0,1,20.69,0,20.69,4,0,20
12,5,0,1,13.42,0,13.42,5,0,20
13,1,0,2,10.05,0,10.05,6,0,20
14,2,0,1,6.07,0,6.07,7,1.0,20
15,4,0,3,12.06,0,12.06,8,0,20
16,2,0,2,6.62,0,6.62,9,1.0,20
17,4,0,4,19.82,0,19.82,10,0,20
18,1,0,3,11.2,0,11.2,11,0,20
19,5,0,2,17.42,0,17.42,12,0,20
20,2,0,3,6.26,0,6.26,13,1.0,20
21,3,0,2,21.87,0,21.87,14,0,20
22,5,0,3,18.81,0,18.81,15,0,20
23,1,0,4,16.33,0,16.33,16,0,20
