idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,5,0,0,5.32,0,5.32,0,0,20
2,1,0,0,20.18,1,120.18,0,0,20
3,3,0,0,8.33,0,8.33,0,0,20
4,3,0,1,22.74,1,122.74,0,0,20
5,6,0,0,9.18,2,209.18,0,0,20
6,3,0,2,5.13,3,305.13,1,0,20
7,6,0,1,9.84,2,209.84,2,0,20
8,6,0,2,14.82,3,314.82,3,0,20
9,5,0,1,9.69,1,109.69,4,0,20
10,4,0,0,8.71,0,8.71,5,0,20
11,4,0,1,13.17,1,113.17,6,0,20
12,4,0,2,14.58,1,114.58,7,0,20
13,1,0,1,7.72,2,207.72,8,0,20
14,4,0,3,5.22,2,205.22,9,0,20
15,5,0,2,10.65,1,110.65,10,0,20
16,2,0,0,6.27,0,6.27,11,0,20
17,2,0,1,22.36,0,22.36,12,1.0,20
18,3,0,3,12.56,3,312.56,13,0,20
19,1,0,2,16.5,2,216.5,14,0,20
20,2,0,2,7.52,0,7.52,15,1.0,20
21,4,0,4,5.95,2,205.95,16,0,20
22,5,0,3,16.56,1,116.56,17,0,20
23,2,0,3,6.43,0,6.43,18,1.0,20
