idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,1,0,0,6.95,0,6.95,0,0,20
2,3,0,0,16.55,0,16.55,0,0,20
3,1,0,1,16.91,0,16.91,0,0,20
4,2,0,0,12.24,0,12.24,1,0,20
5,5,0,0,7.12,0,7.12,2,0,20
6,5,0,1,11.27,0,11.27,3,0,20
7,1,0,2,18.24,0,18.24,4,0,20
8,2,0,1,15.31,0,15.31,5,0,20
9,6,0,0,5.6,0,5.6,6,0,20
10,3,0,1,22.91,0,22.91,7,0,20
11,3,0,2,23.61,0,23.61,8,0,20
12,1,0,3,21.53,0,21.53,9,0,20
13,5,0,2,17.18,0,17.18,10,0,20
14,6,0,1,6.47,0,6.47,11,0,20
15,6,0,2,10.56,0,10.56,12,1.0,20
16,6,0,3,7.83,0,7.83,13,1.0,20
17,5,0,3,17.36,0,17.36,14,0,20
18,4,0,0,6.07,0,6.07,15,0,20
19,4,0,1,7.61,0,7.61,16,0,20
20,4,0,2,16.8,0,16.8,17,0,20
