idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,5,0,0,23.79,0,23.79,1,1.0,20
2,5,0,1,22.48,0,22.48,2,1.0000000000000004,20
3,3,0,0,13.18,0,13.18,3,1.0,20
4,1,0,0,6.21,0,6.21,4,1.0,20
5,4,0,0,19.69,0,19.69,5,1.0,20
6,1,0,1,7.23,0,7.23,6,1.0,20
7,4,0,1,22.43,0,22.43,7,1.0,20
8,4,0,2,18.9,0,18.9,8,1.0,20
9,3,0,1,17.91,0,17.91,9,1.0,20
10,4,0,3,20.68,0,20.68,10,1.0,20
11,3,0,2,17.39,0,17.39,11,1.0,20
12,3,0,3,18.83,0,18.83,12,1.0,20
13,3,0,4,17.72,0,17.72,13,1.0,20
14,2,0,0,10.24,0,10.24,14,1.0,20
15,4,0,4,19.36,0,19.36,15,1.0,20
16,2,0,1,5.31,0,5.31,16,1.0,20
17,2,0,2,12.7,0,12.7,17,1.0,20
18,2,0,3,20.82,0,20.82,18,1.0,20
19,1,0,2,5.6,0,5.6,19,1.0,20
20,6,0,0,16.44,0,16.44,20,1.0,20
21,5,0,2,21.55,0,21.55,21,1.0000000000000004,20
22,2,0,4,13.29,0,13.29,22,0.9999999999999999,20
23,1,0,3,7.42,0,7.42,23,0.9999999999999902,20
