idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,5,0,0,17.32,0,0,1.0,20
2,2,0,0,18.34,0,0,0,20
3,6,0,0,23.14,0,0,1.0,20
4,1,0,0,21.31,0,0,0,20
5,5,0,1,20.01,0,0,1.0,20
6,6,0,1,6.41,0,0,1.0,20
7,6,0,2,15.84,0,0,1.0,20
8,6,0,3,14.4,0,0,1.0,20
9,6,0,4,12.13,0,0,1.0,20
10,5,0,2,8.63,0,0,1.0,20
11,5,0,3,20.31,1,0,1.0,20
12,2,0,1,18.55,2,0,0,20
13,1,0,1,22.52,3,0,0,20
14,3,0,0,10.65,4,0,0,20
15,4,0,0,6.77,5,0,0,20
16,4,0,1,15.51,6,0,0,20
17,2,0,2,21.6,7,0,0,20
18,4,0,2,22.47,8,0,0,20
19,3,0,1,15.3,9,0,0,20
20,5,0,4,14.2,10,0,1.0,20
