idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,6,0,0,10.24,3,310.24,1,0,20
2,5,0,0,18.59,2,218.59,2,0,20
3,4,0,0,11.02,1,111.02,3,0,20
4,6,0,1,10.73,3,310.73,4,0,20
5,5,0,1,22.0,2,222.0,5,0,20
6,4,0,1,15.01,1,115.01,6,0,20
7,2,0,0,10.92,0,10.92,7,0,20
8,1,0,0,9.62,0,9.62,8,0,20
9,4,0,2,17.05,2,217.05,9,0,20
10,4,0,3,9.13,3,309.13,10,0,20
11,2,0,1,6.32,1,106.32,11,0,20
12,4,0,4,22.78,3,322.78,12,0,20
13,1,0,1,19.45,0,19.45,13,0,20
14,3,0,0,5.94,0,5.94,14,0,20
15,2,0,2,23.99,1,123.99,15,0,20
16,1,0,2,16.6,1,116.6,16,0,20
17,6,0,2,21.01,3,321.01,17,0,20
18,1,0,3,19.56,3,319.56,18,0,20
19,3,0,1,14.47,2,214.47,19,0,20
20,5,0,2,12.91,3,312.91,20,0,20
21,3,0,2,19.82,2,219.82,21,0,20
22,5,0,3,19.77,3,319.77,22,0,20
23,3,0,3,22.89,2,222.89,23,0,20
24,2,0,3,11.45,2,211.45,24,0,20
25,3,0,4,12.2,3,312.2,25,0,20
