idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,4,0,0,13.12,0,13.12,0,1.0,20
2,2,0,0,17.93,0,17.93,0,1.0,20
3,4,0,1,7.97,0,7.97,0,1.0,20
4,1,0,0,13.33,0,13.33,0,0,20
5,6,0,0,21.77,0,21.77,0,0,20
6,3,0,0,7.72,0,7.72,0,0,20
7,2,0,1,15.67,0,15.67,0,1.0,20
8,3,0,1,9.5,0,9.5,1,0,20
9,3,0,2,11.36,0,11.36,2,0,20
10,5,0,0,11.63,0,11.63,3,0,20
11,5,0,1,12.19,0,12.19,4,0,20
12,5,0,2,21.71,0,21.71,5,0,20
13,1,0,1,14.42,0,14.42,6,0,20
14,3,0,3,20.51,0,20.51,7,0,20
15,2,0,2,11.05,0,11.05,8,1.0,20
