idx,seq,group,emerg,weight,size(ft)
1,1,0,0,7.18,20
2,2,0,0,5.67,20
3,3,0,0,11.66,20
4,4,0,0,14.57,20
5,5,0,0,18.63,20
6,6,0,0,22.11,20
7,7,0,0,11.65,20
8,8,0,0,15.65,20
9,9,0,0,13.76,20
10,10,0,0,13.8,20
11,11,0,0,23.05,20
12,12,0,0,5.05,20
13,13,0,0,16.36,20
14,14,0,0,6.3,20
15,15,0,0,19.28,20
16,16,0,0,19.79,20
17,17,0,0,11.75,20
18,18,0,0,13.87,20
19,19,0,0,10.53,20
20,20,0,0,16.1,20
21,21,0,0,9.75,20
22,22,0,0,17.34,20
23,23,0,0,22.72,20
24,24,0,0,22.36,20
25,25,0,0,6.44,20
26,26,0,0,11.36,20
27,27,0,0,7.97,20
