idx,seq,group,emerg,weight,size(ft)
1,1,0,0,16.23,20
2,2,0,0,21.3,20
3,3,0,0,21.21,20
4,4,0,0,12.75,20
5,5,0,0,5.24,20
6,6,0,0,5.4,20
7,7,0,0,14.21,20
8,8,0,0,14.2,20
9,9,0,0,17.79,20
10,10,0,0,13.33,20
11,11,0,0,13.38,20
12,12,0,0,14.29,20
13,13,0,0,19.41,20
14,14,0,0,13.47,20
15,15,0,0,21.65,20
16,16,0,0,22.21,20
17,17,0,0,12.19,20
18,18,0,0,22.82,20
19,19,0,0,22.97,20
20,20,0,0,5.31,20
21,21,0,0,11.6,20
22,22,0,0,16.0,20
23,23,0,0,12.57,20
24,24,0,0,15.52,20
25,25,0,0,9.18,20
26,26,0,0,22.7,20
27,27,0,0,7.81,20
