idx,seq,group,emerg,weight,size(ft)
1,1,0,0,10.69,20
2,2,0,0,8.76,20
3,3,0,0,17.55,20
4,4,0,0,14.02,20
5,5,0,0,9.42,20
6,6,0,0,12.29,20
7,7,0,0,21.14,20
8,8,0,0,6.32,20
9,9,0,0,19.79,20
10,10,0,0,5.95,20
11,11,0,0,14.11,20
12,12,0,0,15.84,20
13,13,0,0,16.71,20
14,14,0,0,22.82,20
15,15,0,0,15.37,20
16,16,0,0,15.92,20
17,17,0,0,6.36,20
18,18,0,0,13.14,20
19,19,0,0,21.94,20
20,20,0,0,9.54,20
21,21,0,0,9.11,20
22,22,0,0,20.17,20
23,23,0,0,5.79,20
24,24,0,0,23.77,20
25,25,0,0,23.3,20
26,26,0,0,17.41,20
27,27,0,0,15.14,20
