idx,seq,group,emerg,weight,size(ft)
1,1,0,0,7.54,20
2,2,0,0,16.4,20
3,3,0,0,14.56,20
4,4,0,0,23.53,20
5,5,0,0,10.45,20
6,6,0,0,22.37,20
7,7,0,0,23.37,20
8,8,0,0,6.14,20
9,9,0,0,12.48,20
10,10,0,0,7.07,20
11,11,0,0,9.11,20
12,12,0,0,5.93,20
13,13,0,0,17.73,20
14,14,0,0,21.18,20
15,15,0,0,6.1,20
16,16,0,0,23.53,20
17,17,0,0,16.04,20
18,18,0,0,6.84,20
19,19,0,0,12.56,20
20,20,0,0,11.86,20
21,21,0,0,21.31,20
22,22,0,0,10.18,20
23,23,0,0,20.22,20
24,24,0,0,14.77,20
25,25,0,0,15.59,20
26,26,0,0,8.28,20
27,27,0,0,13.59,20
