idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,5,0,0,8.64,0,0,0,20
2,2,0,0,8.4,0,0,0,20
3,2,0,1,10.91,0,0,0,20
4,2,0,2,19.03,0,0,0,20
5,5,0,1,14.98,0,0,0,20
6,3,0,0,8.09,1,0,0,20
7,3,0,1,14.95,2,0,0,20
8,1,0,0,7.02,3,0,0,20
9,2,0,3,19.82,4,0,0,20
10,6,0,0,20.68,5,0,0,20
11,4,0,0,13.67,6,0,0,20
12,1,0,1,8.85,7,0,0,20
13,1,0,2,12.1,8,0,0,20
14,5,0,2,19.78,9,0,0,20
15,4,0,1,17.5,10,0,0,20
16,6,0,1,22.57,11,0,0,20
17,3,0,2,17.09,12,0,0,20
18,1,0,3,13.63,13,0,0,20
19,4,0,2,20.39,14,0,0,20
20,1,0,4,14.99,15,0,0,20
