Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight(kg), Seq, Emerg, Reloc, Size(ft)
1, 1494.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1493.967041, -0.012433, 112.963356, 0.036049, -0.000003, -0.010126, 20.080000, 0, 0, 0.000000, 0
2, 1494.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1493.757080, -0.072785, 339.072662, 0.087974, -0.000027, -0.020947, 21.969999, 0, 0, 0.000000, 0
3, 498.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 497.945770, -0.011020, 113.012451, -0.113774, 0.014125, -0.003542, 18.510000, 0, 0, 1.000000, 1
4, 996.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 995.853271, -0.029613, 112.702675, 0.122866, -0.000020, -0.019904, 12.590000, 0, 0, 0.000000, 0
5, 996.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 995.169373, -0.153965, 338.608582, 0.250942, -0.000073, -0.045264, 17.969999, 0, 0, 0.000000, 0
6, 747.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 746.796509, -0.027644, 112.723289, 0.067187, 0.007047, -0.018615, 9.980000, 0, 0, 0.000000, 0
7, 1494.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1493.361816, -0.165921, 565.257874, 0.105147, -0.000038, -0.025163, 22.400000, 0, 0, 0.000000, 0
8, 996.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 994.028870, -0.365821, 564.633423, 0.335035, -0.000141, -0.062181, 20.200001, 0, 0, 0.000000, 0
9, 1245.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1244.621582, -0.075813, 112.175415, 0.365008, -0.000201, -0.046392, 7.530000, 0, 0, 0.000000, 0
10, 996.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 992.620544, -0.627856, 790.795044, 0.369550, -0.000165, -0.069885, 22.370001, 0, 0, 0.000000, 0
11, 1245.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1242.791138, -0.356473, 337.861633, 0.603897, -0.000445, -0.097134, 16.230000, 0, 0, 0.000000, 0
12, 1245.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1240.139771, -0.796744, 563.689575, 0.751132, -0.000695, -0.125393, 18.690001, 0, 0, 0.000000, 0
13, 1245.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1236.981812, -1.328972, 789.656128, 0.842000, -0.000881, -0.143540, 21.709999, 0, 0, 0.000000, 0
14, 747.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 746.355957, -0.141086, 338.636627, 0.171335, 0.002961, -0.039196, 14.110000, 0, 0, 0.000000, 0
15, 498.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 498.575409, -0.033906, 339.016235, -0.360973, 0.004932, -0.017960, 7.370000, 0, 0, 1.000000, 1
16, 747.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 745.559143, -0.326520, 564.680542, 0.249821, 0.001494, -0.053478, 15.500000, 0, 0, 1.000000, 1
17, 249.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 253.619476, -0.135538, 116.022530, -2.151916, 0.011267, -0.017416, 7.300000, 0, 0, 0.000000, 0
18, 249.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 262.634644, -0.076505, 341.748016, -2.283090, -0.026866, 0.024786, 9.340000, 0, 0, 0.000000, 0
19, 249.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 271.720276, -0.055927, 567.540649, -2.279589, -0.022993, -0.011863, 12.130000, 0, 0, -0.000000, 0
20, 747.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 744.492188, -0.559404, 790.851379, 0.289765, 0.007326, -0.061839, 14.980000, 0, 0, 1.000000, 1
21, 249.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 280.651001, -0.123984, 793.554443, -2.220847, -0.019723, -0.021605, 12.590000, 0, 0, 0.000000, 0
22, 498.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 503.030853, -0.021427, 567.415039, -1.817859, 0.006024, -0.004912, 5.540000, 0, 0, 1.000000, 1
23, 498.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 510.551910, -0.054538, 793.237061, -1.800969, -0.020736, -0.019042, 6.060000, 0, 0, 1.000000, 1
24, 1245.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 1233.556396, -1.913985, 1015.781616, 0.887476, -0.000990, -0.152649, 22.299999, 0, 0, 0.000000, 0
25, 498.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 518.143799, -0.104219, 1019.286255, -1.716483, -0.033165, -0.027264, 5.770000, 0, 0, 1.000000, 1
