idx,seq,priority,emerg,weight,size(ft)
21,1,0,0,16.56,20
22,2,0,0,16.27,20
23,3,0,0,19.02,20
24,4,0,0,19.82,20
25,5,0,0,17.98,20
26,6,0,0,8.09,20
27,7,0,0,5.51,20
28,8,0,0,6.4,20
29,9,0,0,19.17,20
30,10,0,0,10.48,20
31,11,0,0,21.97,20
32,12,0,0,8.45,20
33,13,0,0,18.55,20
34,14,0,0,12.84,20
35,15,0,0,16.86,20
36,16,0,0,14.16,20
37,17,0,0,21.17,20
38,18,0,0,14.54,20
39,19,0,0,11.0,20
40,20,0,0,23.76,20
41,21,0,0,6.24,20
42,22,0,0,6.68,20
43,23,0,0,6.51,20
44,24,0,0,19.69,20
45,25,0,0,6.81,20
46,26,0,0,10.33,20
47,27,0,0,7.63,20
48,28,0,0,19.03,20
49,29,0,0,19.0,20
50,30,0,0,10.06,20
