idx,seq,group,emerg,weight,size(ft)
21,1,0,0,10.15,20
22,2,0,0,23.33,20
23,3,0,0,19.65,20
24,4,0,0,6.68,20
25,5,0,0,21.96,20
26,6,0,0,6.71,20
27,7,0,0,13.66,20
28,8,0,0,8.01,20
29,9,0,0,21.79,20
30,10,0,0,20.69,20
31,11,0,0,19.04,20
32,12,0,0,18.24,20
33,13,0,0,16.86,20
34,14,0,0,22.84,20
35,15,0,0,15.32,20
36,16,0,0,5.77,20
37,17,0,0,5.57,20
38,18,0,0,21.42,20
39,19,0,0,20.0,20
40,20,0,0,19.0,20
41,21,0,0,20.16,20
42,22,0,0,17.22,20
43,23,0,0,13.98,20
44,24,0,0,11.86,20
45,25,0,0,13.86,20
46,26,0,0,5.05,20
47,27,0,0,9.91,20
48,28,0,0,7.09,20
49,29,0,0,7.68,20
50,30,0,0,12.84,20
