idx,seq,priority,emerg,weight,size(ft)
21,1,0,0,9.09,20
22,2,0,0,14.02,20
23,3,0,0,7.64,20
24,4,0,0,12.15,20
25,5,0,0,16.32,20
26,6,0,0,18.86,20
27,7,0,0,22.3,20
28,8,0,0,21.69,20
29,9,0,0,14.59,20
30,10,0,0,10.89,20
31,11,0,0,17.73,20
32,12,0,0,12.53,20
33,13,0,0,15.42,20
34,14,0,0,20.29,20
35,15,0,0,18.29,20
36,16,0,0,9.54,20
37,17,0,0,5.22,20
38,18,0,0,16.87,20
39,19,0,0,9.23,20
40,20,0,0,23.77,20
41,21,0,0,9.01,20
42,22,0,0,14.98,20
43,23,0,0,7.06,20
44,24,0,0,5.23,20
45,25,0,0,9.12,20
46,26,0,0,18.57,20
47,27,0,0,21.35,20
48,28,0,0,5.11,20
49,29,0,0,7.76,20
50,30,0,0,7.92,20
