idx,seq,priority,emerg,weight,size(ft)
21,1,0,0,19.61,20
22,2,0,0,8.34,20
23,3,0,0,23.0,20
24,4,0,0,23.13,20
25,5,0,0,9.26,20
26,6,0,0,20.14,20
27,7,0,0,8.33,20
28,8,0,0,23.47,20
29,9,0,0,5.45,20
30,10,0,0,20.7,20
31,11,0,0,8.15,20
32,12,0,0,19.41,20
33,13,0,0,14.18,20
34,14,0,0,7.41,20
35,15,0,0,15.54,20
36,16,0,0,6.8,20
37,17,0,0,7.25,20
38,18,0,0,9.25,20
39,19,0,0,11.51,20
40,20,0,0,22.32,20
41,21,0,0,13.4,20
42,22,0,0,14.62,20
43,23,0,0,12.36,20
44,24,0,0,5.15,20
45,25,0,0,12.97,20
46,26,0,0,22.36,20
47,27,0,0,19.71,20
48,28,0,0,8.06,20
49,29,0,0,13.49,20
50,30,0,0,20.76,20
