idx,seq,priority,emerg,weight,size(ft)
21,1,0,0,15.13,20
22,2,0,0,22.64,20
23,3,0,0,9.15,20
24,4,0,0,11.19,20
25,5,0,0,14.32,20
26,6,0,0,5.09,20
27,7,0,0,14.87,20
28,8,0,0,7.16,20
29,9,0,0,7.69,20
30,10,0,0,15.78,20
31,11,0,0,15.18,20
32,12,0,0,17.33,20
33,13,0,0,10.26,20
34,14,0,0,15.86,20
35,15,0,0,6.22,20
36,16,0,0,5.94,20
37,17,0,0,17.67,20
38,18,0,0,14.86,20
39,19,0,0,20.21,20
40,20,0,0,5.28,20
41,21,0,0,17.75,20
42,22,0,0,22.2,20
43,23,0,0,12.27,20
44,24,0,0,19.21,20
45,25,0,0,13.84,20
46,26,0,0,9.82,20
47,27,0,0,16.29,20
48,28,0,0,19.79,20
49,29,0,0,11.29,20
50,30,0,0,23.39,20
