idx,seq,priority,emerg,weight,size(ft)
21,1,0,0,6.55,20
22,2,0,0,7.95,20
23,3,0,0,14.41,20
24,4,0,0,9.34,20
25,5,0,0,23.58,20
26,6,0,0,19.47,20
27,7,0,0,16.32,20
28,8,0,0,8.24,20
29,9,0,0,8.2,20
30,10,0,0,18.73,20
31,11,0,0,6.9,20
32,12,0,0,19.97,20
33,13,0,0,13.76,20
34,14,0,0,18.79,20
35,15,0,0,22.42,20
36,16,0,0,13.49,20
37,17,0,0,23.83,20
38,18,0,0,20.03,20
39,19,0,0,13.77,20
40,20,0,0,6.68,20
41,21,0,0,18.41,20
42,22,0,0,7.42,20
43,23,0,0,23.78,20
44,24,0,0,6.11,20
45,25,0,0,10.71,20
46,26,0,0,23.46,20
47,27,0,0,16.07,20
48,28,0,0,22.83,20
49,29,0,0,19.61,20
50,30,0,0,5.09,20
