idx,seq,priority,emerg,weight,size(ft)
21,1,0,0,15.59,20
22,2,0,0,8.57,20
23,3,0,0,21.77,20
24,4,0,0,17.29,20
25,5,0,0,15.97,20
26,6,0,0,8.38,20
27,7,0,0,16.29,20
28,8,0,0,16.87,20
29,9,0,0,22.29,20
30,10,0,0,5.55,20
31,11,0,0,6.53,20
32,12,0,0,12.58,20
33,13,0,0,12.64,20
34,14,0,0,22.14,20
35,15,0,0,23.67,20
36,16,0,0,20.59,20
37,17,0,0,17.36,20
38,18,0,0,15.86,20
39,19,0,0,11.09,20
40,20,0,0,9.22,20
41,21,0,0,12.83,20
42,22,0,0,16.14,20
43,23,0,0,17.22,20
44,24,0,0,16.5,20
45,25,0,0,7.88,20
46,26,0,0,5.94,20
47,27,0,0,5.23,20
48,28,0,0,13.73,20
49,29,0,0,16.37,20
50,30,0,0,19.98,20
