idx,seq,group,emerg,weight,size(ft)
11,1,0,0,16.9,20
12,2,0,0,8.06,20
13,3,0,0,21.78,20
14,4,0,0,18.83,20
15,5,0,0,18.72,20
16,6,0,0,15.64,20
17,7,0,0,15.81,20
18,8,0,0,6.84,20
19,9,0,0,10.01,20
20,10,0,0,16.35,20
21,11,0,0,9.4,20
22,12,0,0,9.51,20
23,13,0,0,7.86,20
24,14,0,0,14.54,20
25,15,0,0,8.37,20
26,16,0,0,5.11,20
27,17,0,0,19.39,20
28,18,0,0,12.82,20
29,19,0,0,13.77,20
30,20,0,0,12.92,20
31,21,0,0,5.83,20
32,22,0,0,20.87,20
33,23,0,0,13.36,20
34,24,0,0,22.05,20
35,25,0,0,8.43,20
36,26,0,0,13.67,20
37,27,0,0,22.72,20
38,28,0,0,6.63,20
39,29,0,0,5.37,20
40,30,0,0,13.11,20
