idx,seq,priority,weight,size(ft)
4,1,1.5,3.05,20
5,2,1.0,17.12,20
6,3,1.2000000000000002,12.36,20
7,4,1.9000000000000001,22.1,20
8,5,0.1,11.13,20
9,6,0.7000000000000001,9.43,20
10,7,2.2,23.19,20
11,8,1.1,6.2,20
12,9,2.3000000000000003,13.9,20
13,10,1.8,9.44,20
14,11,0.8,8.03,20
15,12,2.0,8.91,20
16,13,1.7000000000000002,14.35,20
17,14,0.5,5.14,20
18,15,0.2,4.4,20
19,16,0.30000000000000004,9.6,20
20,17,0.4,11.56,20
21,18,1.6,17.33,20
22,19,1.4000000000000001,16.3,20
23,20,0.6000000000000001,14.39,20
