idx,seq,group,emerg,weight,size(ft)
1,1,0,0,13.58,20
2,2,0,0,20.81,20
3,3,0,0,15.46,20
4,4,0,0,13.71,20
5,5,0,0,19.15,20
6,6,0,0,22.41,20
7,7,0,0,20.87,20
8,8,0,0,5.53,20
9,9,0,0,19.86,20
10,10,0,0,9.74,20
11,11,0,0,14.15,20
12,12,0,0,12.63,20
13,13,0,0,7.52,20
14,14,0,0,12.1,20
15,15,0,0,14.96,20
16,16,0,0,16.22,20
17,17,0,0,23.19,20
18,18,0,0,22.43,20
19,19,0,0,6.26,20
20,20,0,0,5.33,20
21,21,0,0,23.71,20
22,22,0,0,9.16,20
23,23,0,0,12.63,20
24,24,0,0,7.77,20
25,25,0,0,16.83,20
26,26,0,0,22.0,20
27,27,0,0,23.15,20
28,28,0,0,15.81,20
29,29,0,0,15.92,20
30,30,0,0,15.82,20
31,31,0,0,19.67,20
32,32,0,0,23.82,20
33,33,0,0,20.12,20
34,34,0,0,18.68,20
35,35,0,0,9.16,20
36,36,0,0,6.3,20
37,37,0,0,14.95,20
38,38,0,0,22.5,20
39,39,0,0,9.17,20
40,40,0,0,6.11,20
41,41,0,0,14.22,20
42,42,0,0,6.42,20
43,43,0,0,17.4,20
44,44,0,0,15.63,20
45,45,0,0,8.94,20
46,46,0,0,17.47,20
47,47,0,0,21.69,20
48,48,0,0,16.3,20
49,49,0,0,15.23,20
50,50,0,0,10.22,20
