idx,seq,priority,emerg,weight,size(ft)
1,1,0,0,19.53,20
2,2,0,0,6.01,20
3,3,0,0,16.39,20
4,4,0,0,15.97,20
5,5,0,0,10.61,20
6,6,0,0,23.84,20
7,7,0,0,17.18,20
8,8,0,0,20.99,20
9,9,0,0,18.64,20
10,10,0,0,10.44,20
11,11,0,0,10.28,20
12,12,0,0,14.61,20
13,13,0,0,10.43,20
14,14,0,0,16.01,20
15,15,0,0,16.94,20
16,16,0,0,12.51,20
17,17,0,0,20.93,20
18,18,0,0,10.57,20
19,19,0,0,18.43,20
20,20,0,0,19.75,20
21,21,0,0,23.75,20
22,22,0,0,7.03,20
23,23,0,0,14.57,20
24,24,0,0,15.15,20
25,25,0,0,5.54,20
26,26,0,0,11.72,20
27,27,0,0,13.24,20
28,28,0,0,15.84,20
29,29,0,0,8.15,20
30,30,0,0,13.89,20
31,31,0,0,10.83,20
32,32,0,0,11.94,20
33,33,0,0,7.4,20
34,34,0,0,8.32,20
35,35,0,0,17.73,20
36,36,0,0,10.36,20
37,37,0,0,15.2,20
38,38,0,0,23.01,20
39,39,0,0,23.46,20
40,40,0,0,20.72,20
41,41,0,0,6.76,20
42,42,0,0,15.42,20
43,43,0,0,19.07,20
44,44,0,0,19.0,20
45,45,0,0,13.47,20
46,46,0,0,7.85,20
47,47,0,0,21.6,20
48,48,0,0,5.64,20
49,49,0,0,12.69,20
50,50,0,0,9.36,20
