idx,seq,priority,emerg,weight,size(ft)
1,1,0,0,16.07,20
2,2,0,0,17.32,20
3,3,0,0,6.87,20
4,4,0,0,11.41,20
5,5,0,0,21.11,20
6,6,0,0,13.14,20
7,7,0,0,8.86,20
8,8,0,0,8.43,20
9,9,0,0,22.72,20
10,10,0,0,20.42,20
11,11,0,0,22.45,20
12,12,0,0,20.79,20
13,13,0,0,6.54,20
14,14,0,0,17.11,20
15,15,0,0,13.82,20
16,16,0,0,9.41,20
17,17,0,0,7.58,20
18,18,0,0,8.99,20
19,19,0,0,11.38,20
20,20,0,0,16.39,20
21,21,0,0,18.85,20
22,22,0,0,13.24,20
23,23,0,0,14.12,20
24,24,0,0,20.5,20
25,25,0,0,21.71,20
26,26,0,0,22.84,20
27,27,0,0,6.74,20
28,28,0,0,7.17,20
29,29,0,0,14.43,20
30,30,0,0,5.82,20
31,31,0,0,16.1,20
32,32,0,0,17.58,20
33,33,0,0,13.77,20
34,34,0,0,21.08,20
35,35,0,0,10.6,20
36,36,0,0,18.59,20
37,37,0,0,5.85,20
38,38,0,0,22.87,20
39,39,0,0,13.84,20
40,40,0,0,23.75,20
41,41,0,0,21.0,20
42,42,0,0,21.57,20
43,43,0,0,21.46,20
44,44,0,0,21.29,20
45,45,0,0,20.78,20
46,46,0,0,9.79,20
47,47,0,0,14.97,20
48,48,0,0,11.59,20
49,49,0,0,6.0,20
50,50,0,0,20.55,20
