idx,seq,priority,emerg,weight,size(ft)
1,1,0,0,10.95,20
2,2,0,0,9.18,20
3,3,0,0,14.78,20
4,4,0,0,23.26,20
5,5,0,0,17.54,20
6,6,0,0,16.8,20
7,7,0,0,17.86,20
8,8,0,0,12.14,20
9,9,0,0,15.96,20
10,10,0,0,7.86,20
11,11,0,0,16.74,20
12,12,0,0,22.69,20
13,13,0,0,6.17,20
14,14,0,0,6.65,20
15,15,0,0,15.93,20
16,16,0,0,6.22,20
17,17,0,0,21.68,20
18,18,0,0,20.05,20
19,19,0,0,18.35,20
20,20,0,0,12.18,20
21,21,0,0,6.65,20
22,22,0,0,6.22,20
23,23,0,0,16.89,20
24,24,0,0,18.89,20
25,25,0,0,6.14,20
26,26,0,0,12.06,20
27,27,0,0,16.44,20
28,28,0,0,12.97,20
29,29,0,0,17.66,20
30,30,0,0,22.74,20
31,31,0,0,18.32,20
32,32,0,0,19.22,20
33,33,0,0,16.71,20
34,34,0,0,22.82,20
35,35,0,0,13.65,20
36,36,0,0,6.13,20
37,37,0,0,8.22,20
38,38,0,0,5.5,20
39,39,0,0,10.32,20
40,40,0,0,10.18,20
41,41,0,0,13.49,20
42,42,0,0,22.14,20
43,43,0,0,20.55,20
44,44,0,0,6.05,20
45,45,0,0,21.18,20
46,46,0,0,17.32,20
47,47,0,0,19.88,20
48,48,0,0,17.36,20
49,49,0,0,6.58,20
50,50,0,0,15.29,20
