idx,seq,priority,emerg,weight,size(ft)
1,1,0,0,5.73,20
2,2,0,0,16.03,20
3,3,0,0,9.94,20
4,4,0,0,14.57,20
5,5,0,0,5.45,20
6,6,0,0,23.09,20
7,7,0,0,23.92,20
8,8,0,0,17.91,20
9,9,0,0,9.29,20
10,10,0,0,20.13,20
11,11,0,0,16.94,20
12,12,0,0,11.52,20
13,13,0,0,11.23,20
14,14,0,0,21.3,20
15,15,0,0,17.63,20
16,16,0,0,5.36,20
17,17,0,0,11.28,20
18,18,0,0,20.92,20
19,19,0,0,7.84,20
20,20,0,0,17.05,20
21,21,0,0,12.47,20
22,22,0,0,19.86,20
23,23,0,0,13.07,20
24,24,0,0,12.44,20
25,25,0,0,22.19,20
26,26,0,0,5.34,20
27,27,0,0,7.57,20
28,28,0,0,9.23,20
29,29,0,0,6.64,20
30,30,0,0,8.77,20
31,31,0,0,12.95,20
32,32,0,0,9.19,20
33,33,0,0,11.43,20
34,34,0,0,10.05,20
35,35,0,0,12.09,20
36,36,0,0,15.5,20
37,37,0,0,11.77,20
38,38,0,0,8.14,20
39,39,0,0,13.87,20
40,40,0,0,16.89,20
41,41,0,0,7.1,20
42,42,0,0,14.66,20
43,43,0,0,17.24,20
44,44,0,0,20.95,20
45,45,0,0,12.51,20
46,46,0,0,8.41,20
47,47,0,0,13.61,20
48,48,0,0,13.4,20
49,49,0,0,15.33,20
50,50,0,0,21.62,20
