idx,seq,priority,emerg,weight,size(ft)
1,1,0,0,12.07,20
2,2,0,0,7.58,20
3,3,0,0,14.46,20
4,4,0,0,20.65,20
5,5,0,0,20.39,20
6,6,0,0,5.31,20
7,7,0,0,12.64,20
8,8,0,0,6.79,20
9,9,0,0,23.0,20
10,10,0,0,23.56,20
11,11,0,0,18.28,20
12,12,0,0,17.59,20
13,13,0,0,7.44,20
14,14,0,0,21.0,20
15,15,0,0,21.96,20
16,16,0,0,12.07,20
17,17,0,0,14.06,20
18,18,0,0,12.83,20
19,19,0,0,11.02,20
20,20,0,0,7.33,20
21,21,0,0,13.53,20
22,22,0,0,9.64,20
23,23,0,0,7.77,20
24,24,0,0,20.65,20
25,25,0,0,17.33,20
26,26,0,0,10.19,20
27,27,0,0,5.67,20
28,28,0,0,23.52,20
29,29,0,0,9.11,20
30,30,0,0,10.26,20
31,31,0,0,19.58,20
32,32,0,0,7.4,20
33,33,0,0,20.36,20
34,34,0,0,17.39,20
35,35,0,0,19.54,20
36,36,0,0,18.09,20
37,37,0,0,10.83,20
38,38,0,0,10.57,20
39,39,0,0,5.28,20
40,40,0,0,15.64,20
41,41,0,0,22.81,20
42,42,0,0,15.84,20
43,43,0,0,5.37,20
44,44,0,0,16.79,20
45,45,0,0,6.18,20
46,46,0,0,10.75,20
47,47,0,0,8.5,20
48,48,0,0,16.06,20
49,49,0,0,21.79,20
50,50,0,0,8.21,20
