idx,seq,priority,emerg,weight,size(ft)
1,1,0,0,10.06,20
2,2,0,0,21.76,20
3,3,0,0,14.86,20
4,4,0,0,22.64,20
5,5,0,0,13.36,20
6,6,0,0,14.13,20
7,7,0,0,10.87,20
8,8,0,0,19.99,20
9,9,0,0,9.29,20
10,10,0,0,17.0,20
11,11,0,0,12.73,20
12,12,0,0,15.57,20
13,13,0,0,14.23,20
14,14,0,0,14.44,20
15,15,0,0,21.99,20
16,16,0,0,14.83,20
17,17,0,0,14.91,20
18,18,0,0,6.76,20
19,19,0,0,10.82,20
20,20,0,0,19.21,20
21,21,0,0,15.59,20
22,22,0,0,17.07,20
23,23,0,0,11.68,20
24,24,0,0,5.94,20
25,25,0,0,19.7,20
26,26,0,0,5.97,20
27,27,0,0,18.77,20
28,28,0,0,9.78,20
29,29,0,0,11.55,20
30,30,0,0,16.84,20
31,31,0,0,9.03,20
32,32,0,0,13.89,20
33,33,0,0,21.19,20
34,34,0,0,5.53,20
35,35,0,0,22.86,20
36,36,0,0,23.23,20
37,37,0,0,23.03,20
38,38,0,0,12.67,20
39,39,0,0,9.78,20
40,40,0,0,6.63,20
41,41,0,0,14.54,20
42,42,0,0,9.44,20
43,43,0,0,11.72,20
44,44,0,0,12.81,20
45,45,0,0,9.43,20
46,46,0,0,19.47,20
47,47,0,0,7.1,20
48,48,0,0,16.26,20
49,49,0,0,22.47,20
50,50,0,0,9.53,20
