idx,seq,priority,emerg,weight,size(ft)
1,1,0,0,9.11,20
2,2,0,0,7.46,20
3,3,0,0,19.61,20
4,4,0,0,7.6,20
5,5,0,0,18.53,20
6,6,0,0,9.48,20
7,7,0,0,17.0,20
8,8,0,0,18.69,20
9,9,0,0,7.68,20
10,10,0,0,13.77,20
11,11,0,0,12.76,20
12,12,0,0,7.34,20
13,13,0,0,18.62,20
14,14,0,0,11.23,20
15,15,0,0,13.94,20
16,16,0,0,5.11,20
17,17,0,0,13.7,20
18,18,0,0,13.21,20
19,19,0,0,5.23,20
20,20,0,0,22.14,20
21,21,0,0,21.38,20
22,22,0,0,20.86,20
23,23,0,0,6.59,20
24,24,0,0,7.57,20
25,25,0,0,12.69,20
26,26,0,0,19.87,20
27,27,0,0,13.23,20
28,28,0,0,5.83,20
29,29,0,0,20.69,20
30,30,0,0,9.6,20
31,31,0,0,18.57,20
32,32,0,0,8.48,20
33,33,0,0,18.38,20
34,34,0,0,22.34,20
35,35,0,0,9.1,20
36,36,0,0,9.48,20
37,37,0,0,23.84,20
38,38,0,0,5.17,20
39,39,0,0,20.62,20
40,40,0,0,15.27,20
41,41,0,0,18.63,20
42,42,0,0,15.62,20
43,43,0,0,8.43,20
44,44,0,0,7.84,20
45,45,0,0,15.98,20
46,46,0,0,11.44,20
47,47,0,0,22.59,20
48,48,0,0,10.85,20
49,49,0,0,12.18,20
50,50,0,0,13.96,20
