idx,loc_x,loc_y,loc_z,weight,group,score,seq,emerg,reloc,size(ft)
1,2,0,0,5.27,0,5.27,1,0,0,20
2,7,0,0,23.61,0,23.61,2,0,1.0,20
3,8,0,0,21.68,0,21.68,3,0,1.0,20
4,8,0,1,21.43,0,21.43,4,0,1.0,20
5,5,0,0,17.68,0,17.68,5,0,1.0,20
6,5,0,1,18.84,0,18.84,6,0,1.0,20
7,4,0,0,15.56,0,15.56,7,0,1.0,20
8,4,0,1,14.9,0,14.9,8,0,1.0,20
9,3,0,0,11.93,0,11.93,9,0,0,20
10,6,0,0,19.8,0,19.8,10,0,1.0,20
11,7,0,1,21.67,0,21.67,11,0,1.0,20
12,2,0,1,7.8,0,7.8,12,0,1.0,20
13,4,0,2,14.69,0,14.69,13,0,1.0,20
14,3,0,1,13.11,0,13.11,14,0,1.0,20
15,1,0,0,6.72,0,6.72,15,0,1.0,20
16,1,0,1,5.28,0,5.28,16,0,1.0,20
17,5,0,2,18.34,0,18.34,17,0,1.0,20
18,4,0,3,15.11,0,15.11,18,0,1.0,20
19,3,0,2,14.0,0,14.0,19,0,1.0,20
20,2,0,2,8.25,0,8.25,20,0,1.0,20
21,4,0,4,14.75,0,14.75,21,0,1.0,20
22,6,0,1,21.67,0,21.67,22,0,1.0,20
23,5,0,3,21.16,0,21.16,23,0,1.0,20
24,7,0,2,22.81,0,22.81,24,0,1.0,20
25,7,0,3,21.91,0,21.91,25,0,1.0,20
26,4,0,5,15.64,0,15.64,26,0,1.0,20
27,5,0,4,17.7,0,17.7,27,0,1.0,20
28,5,0,5,23.68,0,23.68,28,0,1.0,20
29,2,0,3,8.66,0,8.66,29,0,1.0,20
30,3,0,3,13.09,0,13.09,30,0,1.0,20
31,3,0,4,12.82,0,12.82,31,0,1.0,20
32,6,0,2,18.62,0,18.62,32,0,1.0,20
33,1,0,2,9.42,0,9.42,33,0,1.0,20
34,2,0,4,10.56,0,10.56,34,0,1.0,20
35,2,0,5,16.22,0,16.22,35,0,1.0,20
36,3,0,5,14.03,0,14.03,36,0,1.0,20
37,6,0,3,19.92,0,19.92,37,0,1.0,20
38,6,0,4,19.9,0,19.9,38,0,1.0,20
39,1,0,3,6.77,0,6.77,39,0,1.0,20
40,1,0,4,5.98,0,5.98,40,0,1.0,20
