idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,2,0,0,15.86,0,0,1.0,20
2,2,0,1,15.09,0,0,1.0,20
3,5,0,0,12.52,0,0,0,20
4,5,0,1,23.22,0,0,0,20
5,2,0,2,18.66,0,0,1.0,20
6,4,0,0,23.21,0,0,1.0,20
7,6,0,0,23.78,0,0,1.0,20
8,6,0,1,22.02,0,0,1.0,20
9,2,0,3,13.5,0,0,1.0,20
10,4,0,1,9.46,0,0,1.0,20
11,1,0,0,13.57,1,0,0,20
12,5,0,2,23.8,2,0,0,20
13,5,0,3,23.91,3,0,0,20
14,6,0,2,23.61,4,0,1.0,20
15,1,0,1,15.93,5,0,0,20
16,4,0,2,19.65,6,0,1.0,20
17,1,0,2,19.13,7,0,0,20
18,6,0,3,10.3,8,0,1.0,20
19,3,0,0,5.38,9,0,0,20
20,3,0,1,16.51,10,0,0,20
