idx,seq,group,emerg,weight,size(ft)
21,1,0,0,13.47,20
22,2,0,0,7.21,20
23,3,0,0,9.54,20
24,4,0,0,14.31,20
25,5,0,0,22.31,20
26,6,0,0,18.85,20
27,7,0,0,23.78,20
28,8,0,0,14.02,20
29,9,0,0,16.62,20
30,10,0,0,22.64,20
31,11,0,0,6.44,20
32,12,0,0,9.68,20
33,13,0,0,23.25,20
34,14,0,0,17.63,20
35,15,0,0,10.8,20
36,16,0,0,17.8,20
37,17,0,0,7.42,20
38,18,0,0,21.08,20
39,19,0,0,10.56,20
40,20,0,0,6.12,20
41,21,0,0,15.41,20
42,22,0,0,13.7,20
43,23,0,0,20.3,20
44,24,0,0,23.35,20
45,25,0,0,7.88,20
46,26,0,0,7.85,20
47,27,0,0,16.03,20
48,28,0,0,23.23,20
49,29,0,0,18.75,20
50,30,0,0,14.54,20
