idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,5,0,0,14.66,0,0,0,20
2,2,0,0,13.97,0,0,0.9999999999999716,20
3,6,0,0,11.11,0,0,0,20
4,2,0,1,16.33,0,0,0.9999999999999996,20
5,1,0,0,15.76,0,0,1.0,20
6,4,0,0,6.65,1,0,0,20
7,2,0,2,18.91,2,0,1.0,20
8,4,0,1,16.72,3,0,0,20
9,3,0,0,9.79,4,0,1.0,20
10,2,0,3,14.44,5,0,1.0,20
11,2,0,4,11.62,6,0,1.0,20
12,1,0,1,6.41,7,0,1.0,20
13,3,0,1,8.69,8,0,1.0,20
14,6,0,1,23.41,9,0,1.0,20
15,4,0,2,20.85,10,0,0,20
16,5,0,1,22.5,11,0,0,20
17,1,0,2,6.87,12,0,1.0,20
18,3,0,2,11.86,13,0,1.0,20
19,1,0,3,8.16,14,0,1.0,20
20,3,0,3,17.25,15,0,1.0,20
