idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,3,0,0,8.9,0,0,1.0,20
2,3,0,1,14.9,0,0,1.0,20
3,4,0,0,21.58,0,0,1.0,20
4,4,0,1,8.52,0,0,1.0,20
5,1,0,0,15.14,0,0,1.0,20
6,4,0,2,19.76,1,0,1.0,20
7,4,0,3,20.18,2,0,1.0,20
8,6,0,0,23.64,3,0,0,20
9,1,0,1,5.92,4,0,1.0,20
10,5,0,0,10.16,5,0,0,20
11,1,0,2,6.42,6,0,1.0,20
12,2,0,0,5.1,7,0,0,20
13,3,0,2,8.8,8,0,1.0,20
14,2,0,1,5.67,9,0,0,20
15,2,0,2,9.32,10,0,0,20
16,2,0,3,14.11,11,0,0,20
17,1,0,3,6.93,12,0,1.0,20
18,5,0,1,16.22,13,0,1.0,20
19,2,0,4,18.89,14,0,0,20
20,1,0,4,14.36,15,0,1.0,20
