idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,3,0,0,16.65,1,0,1.0,20
2,2,0,0,8.48,2,0,1.0,20
3,4,0,0,23.07,3,0,1.0,20
4,4,0,1,21.68,4,0,1.0,20
5,3,0,1,14.54,5,0,1.0,20
6,4,0,2,22.08,6,0,1.0,20
7,3,0,2,17.85,7,0,1.0,20
8,5,0,0,10.12,8,0,0,20
9,5,0,1,14.19,9,0,0,20
10,5,0,2,20.45,10,0,0,20
11,3,0,3,17.72,11,0,1.0,20
12,2,0,1,9.15,12,0,1.0,20
13,4,0,3,18.82,13,0,1.0,20
14,1,0,0,8.95,14,0,1.0,20
15,2,0,2,18.11,15,0,1.0,20
16,1,0,1,5.13,16,0,1.0,20
17,6,0,0,23.24,17,0,0,20
18,2,0,3,16.96,18,0,1.0,20
19,1,0,2,5.48,19,0,1.0,20
20,1,0,3,13.71,20,0,1.0,20
