idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,3,0,0,9.01,1,0,1.0,20
2,1,0,0,5.74,2,0,1.0,20
3,1,0,1,10.41,3,0,1.0,20
4,5,0,0,14.02,4,0,0,20
5,3,0,1,17.29,5,0,1.0,20
6,2,0,0,5.99,6,0,1.0,20
7,1,0,2,7.05,7,0,1.0,20
8,3,0,2,19.85,8,0,1.0,20
9,5,0,1,21.7,9,0,1.0,20
10,2,0,1,9.13,10,0,1.0,20
11,1,0,3,14.98,11,0,1.0,20
12,4,0,0,14.14,12,0,0,20
13,5,0,2,18.07,13,0,1.0,20
14,2,0,2,9.86,14,0,1.0,20
15,6,0,0,22.83,15,0,0,20
16,4,0,1,17.06,16,0,1.0,20
17,4,0,2,16.47,17,0,1.0,20
18,1,0,4,14.8,18,0,1.0,20
19,2,0,3,10.85,19,0,1.0,20
20,4,0,3,18.83,20,0,1.0,20
