idx,seq,group,emerg,weight,size(ft)
6,1,0,0,19.58,20
7,2,0,0,23.85,20
8,3,0,0,16.38,20
9,4,0,0,7.36,20
10,5,0,0,12.32,20
11,6,0,0,10.51,20
12,7,0,0,21.37,20
13,8,0,0,6.64,20
14,9,0,0,5.27,20
15,10,0,0,7.5,20
16,11,0,0,7.63,20
17,12,0,0,15.21,20
18,13,0,0,8.41,20
19,14,0,0,8.03,20
20,15,0,0,21.54,20
21,16,0,0,20.41,20
22,17,0,0,22.35,20
23,18,0,0,6.38,20
24,19,0,0,11.74,20
25,20,0,0,7.28,20
26,21,0,0,17.32,20
27,22,0,0,20.12,20
28,23,0,0,6.05,20
29,24,0,0,6.38,20
30,25,0,0,19.89,20
31,26,0,0,6.05,20
32,27,0,0,13.1,20
33,28,0,0,20.11,20
34,29,0,0,19.52,20
35,30,0,0,21.57,20
36,31,0,0,10.35,20
37,32,0,0,8.29,20
38,33,0,0,7.74,20
39,34,0,0,18.66,20
40,35,0,0,7.36,20
41,36,0,0,13.54,20
42,37,0,0,10.91,20
43,38,0,0,5.38,20
44,39,0,0,9.06,20
45,40,0,0,11.52,20
46,41,0,0,12.07,20
47,42,0,0,13.71,20
48,43,0,0,9.87,20
49,44,0,0,9.6,20
50,45,0,0,7.4,20
