idx,seq,group,emerg,weight,size(ft)
6,1,0,0,20.11,20
7,2,0,0,20.0,20
8,3,0,0,6.41,20
9,4,0,0,19.56,20
10,5,0,0,5.02,20
11,6,0,0,14.0,20
12,7,0,0,23.14,20
13,8,0,0,20.32,20
14,9,0,0,12.42,20
15,10,0,0,7.89,20
16,11,0,0,16.77,20
17,12,0,0,17.27,20
18,13,0,0,12.62,20
19,14,0,0,11.77,20
20,15,0,0,12.38,20
21,16,0,0,15.96,20
22,17,0,0,13.05,20
23,18,0,0,13.14,20
24,19,0,0,15.45,20
25,20,0,0,22.01,20
26,21,0,0,17.91,20
27,22,0,0,15.62,20
28,23,0,0,12.45,20
29,24,0,0,7.96,20
30,25,0,0,9.86,20
31,26,0,0,14.03,20
32,27,0,0,11.46,20
33,28,0,0,17.32,20
34,29,0,0,21.04,20
35,30,0,0,18.19,20
36,31,0,0,6.33,20
37,32,0,0,15.54,20
38,33,0,0,22.59,20
39,34,0,0,20.92,20
40,35,0,0,23.31,20
41,36,0,0,21.45,20
42,37,0,0,18.46,20
43,38,0,0,15.27,20
44,39,0,0,15.8,20
45,40,0,0,11.12,20
46,41,0,0,10.92,20
47,42,0,0,16.27,20
48,43,0,0,11.21,20
49,44,0,0,23.67,20
50,45,0,0,6.89,20
